ICODE,ITEM_EXTINCT
BM50101,Non Extinct
BM50939,Extinct
BM66457,Non Extinct
BM32256,Non Extinct
BM14972,Non Extinct
BM50981,Non Extinct
BM66022,Non Extinct
BM60700,Non Extinct
BM59782,Non Extinct
BM51825,Non Extinct
BM11698,Non Extinct
BM32359,Non Extinct
BM11755,Non Extinct
BM11768,Non Extinct
BM50957,Extinct
BM50958,Extinct
BM43609,Non Extinct
BM63352,Non Extinct
BM58419,Non Extinct
BM46059,Non Extinct
BM41109,Non Extinct
BM64644,Non Extinct
BM50966,Extinct
BM66976,Non Extinct
BM64982,Non Extinct
BM46677,Extinct
BM46615,Extinct
BM46704,Extinct
BM47290,Non Extinct
BM64503,Non Extinct
BM68041,Non Extinct
BM64640,Non Extinct
BM68042,Non Extinct
BM68043,Non Extinct
BM68044,Non Extinct
BM53710,Non Extinct
BM64087,Non Extinct
BM37988,Non Extinct
BM54130,Non Extinct
BM54131,Non Extinct
BM66295,Non Extinct
BM35099,Non Extinct
BM43637,Non Extinct
BM55148,Non Extinct
BM55153,Non Extinct
BM64149,Non Extinct
BM50052,Extinct
BM50050,Non Extinct
BM65273,Non Extinct
BM66181,Non Extinct
BM67148,Non Extinct
BM65423,Non Extinct
BM65424,Non Extinct
BM40481,Non Extinct
BM43343,Non Extinct
BM43633,Non Extinct
BM43634,Non Extinct
BM64984,Non Extinct
BM50142,Non Extinct
BM50143,Extinct
BM66973,Non Extinct
BM64626,Non Extinct
BM67789,Non Extinct
BM63031,Non Extinct
BM63037,Non Extinct
BM63040,Non Extinct
BM41985,Non Extinct
BM44213,Non Extinct
BM5763,Non Extinct
BM68126,Non Extinct
BM66443,Non Extinct
BM68234,Non Extinct
BM65192,Non Extinct
BM65194,Non Extinct
BM65195,Non Extinct
BM65197,Non Extinct
BM65198,Non Extinct
BM65919,Non Extinct
BM65437,Non Extinct
BM65438,Non Extinct
BM4317,Non Extinct
BM61233,Non Extinct
BM59340,Extinct
BM60505,Non Extinct
BM62157,Non Extinct
BM65199,Non Extinct
BM55170,Non Extinct
BM65200,Non Extinct
BM64292,Non Extinct
BM64649,Non Extinct
BM65110,Non Extinct
BM65111,Non Extinct
BM65112,Non Extinct
BM43513,Non Extinct
BM53433,Extinct
BM65113,Non Extinct
BM65114,Non Extinct
BM43421,Extinct
BM65115,Non Extinct
BM65123,Non Extinct
BM65124,Non Extinct
BM65872,Non Extinct
BM43809,Non Extinct
BM53922,Non Extinct
BM43861,Non Extinct
BM54817,Non Extinct
BM7642,Non Extinct
BM68305,Non Extinct
BM68135,Non Extinct
BM68136,Non Extinct
BM43220,Non Extinct
BM65873,Non Extinct
BM65874,Non Extinct
BM65439,Non Extinct
BM67619,Non Extinct
BM43178,Non Extinct
BM53369,Extinct
BM53372,Extinct
BM66141,Non Extinct
BM65116,Non Extinct
BM65150,Non Extinct
BM65151,Non Extinct
BM65241,Non Extinct
BM60498,Non Extinct
BM60499,Non Extinct
BM41123,Non Extinct
BM41125,Non Extinct
BM65364,Non Extinct
BM65365,Non Extinct
BM67622,Non Extinct
BM50139,Non Extinct
BM50145,Extinct
BM66479,Non Extinct
BM65366,Non Extinct
BM65367,Non Extinct
BM65368,Non Extinct
BM65875,Non Extinct
BM10127,Non Extinct
BM63991,Non Extinct
BM50188,Non Extinct
BM60514,Non Extinct
BM60512,Non Extinct
BM60511,Non Extinct
BM7648,Non Extinct
BM60507,Non Extinct
BM50053,Non Extinct
BM50055,Non Extinct
BM51686,Non Extinct
BM16024,Non Extinct
BM42979,Non Extinct
BM11763,Non Extinct
BM58071,Non Extinct
BM58056,Non Extinct
BM51939,Non Extinct
BM4292,Non Extinct
BM68373,Non Extinct
BM68374,Non Extinct
BM68375,Non Extinct
BM40019,Non Extinct
BM55358,Non Extinct
BM44584,Non Extinct
BM50120,Non Extinct
BM58073,Non Extinct
BM60098,Non Extinct
BM68089,Non Extinct
BM68233,Non Extinct
BM4315,Non Extinct
BM59511,Non Extinct
BM4311,Non Extinct
BM4313,Non Extinct
BM43161,Non Extinct
BM60517,Non Extinct
BM60515,Non Extinct
BM68236,Non Extinct
BM68524,Non Extinct
BM53916,Non Extinct
BM43812,Non Extinct
BM43814,Non Extinct
BM43815,Non Extinct
BM4303,Non Extinct
BM68071,Non Extinct
BM44006,Non Extinct
BM55137,Non Extinct
BM44065,Non Extinct
BM46617,Extinct
BM46756,Extinct
BM68326,Non Extinct
BM59512,Non Extinct
BM59513,Non Extinct
BM44068,Non Extinct
BM66708,Non Extinct
BM50766,Extinct
BM67768,Non Extinct
BM50927,Non Extinct
BM54106,Extinct
BM61162,Non Extinct
BM54109,Non Extinct
BM54108,Non Extinct
BM46745,Non Extinct
BM46974,Non Extinct
BM62974,Non Extinct
BM8924,Extinct
BM3164,Non Extinct
BM53924,Non Extinct
BM45510,Non Extinct
BM65693,Non Extinct
BM45955,Non Extinct
BM47025,Non Extinct
BM53377,Non Extinct
BM50963,Non Extinct
BM53375,Non Extinct
BM4318,Non Extinct
BM4302,Non Extinct
BM45953,Non Extinct
BM45860,Non Extinct
BM67822,Non Extinct
BM68504,Non Extinct
BM68502,Non Extinct
BM68503,Non Extinct
BM9335,Non Extinct
BM64637,Non Extinct
BM49793,Non Extinct
BM55568,Non Extinct
BM57198,Non Extinct
BM55569,Non Extinct
BM55436,Non Extinct
BM46769,Non Extinct
BM46869,Non Extinct
BM64636,Non Extinct
BM64635,Non Extinct
BM43569,Non Extinct
BM45615,Non Extinct
BM46732,Non Extinct
BM60819,Non Extinct
BM64057,Non Extinct
BM51679,Non Extinct
BM59672,Extinct
BM46733,Extinct
BM46737,Non Extinct
BM49528,Non Extinct
BM53923,Non Extinct
BM49464,Non Extinct
BM60903,Non Extinct
BM64634,Non Extinct
BM53826,Non Extinct
BM53830,Non Extinct
BM47088,Non Extinct
BM50769,Extinct
BM66269,Non Extinct
BM55127,Non Extinct
BM53633,Non Extinct
BM53656,Non Extinct
BM59151,Non Extinct
BM50929,Extinct
BM59896,Non Extinct
BM55026,Non Extinct
BM53829,Non Extinct
BM46816,Extinct
BM44830,Non Extinct
BM62736,Non Extinct
BM62737,Non Extinct
BM46599,Non Extinct
BM61736,Non Extinct
BM60371,Extinct
BM60372,Extinct
BM60383,Non Extinct
BM55122,Non Extinct
BM46860,Non Extinct
BM65822,Non Extinct
BM47173,Non Extinct
BM46868,Extinct
BM60377,Non Extinct
BM60378,Non Extinct
BM50773,Extinct
BM44831,Non Extinct
BM46986,Extinct
BM50885,Non Extinct
