ICODE,ITEM_EXTINCT
BM47579,Non Extinct
BM66827,Non Extinct
BM47582,Non Extinct
BM47583,Non Extinct
BM47585,Extinct
BM50573,Non Extinct
BM48923,Non Extinct
BM42507,Non Extinct
BM42452,Non Extinct
BM52203,Non Extinct
BM52204,Non Extinct
BM52213,Extinct
BM54127,Non Extinct
BM4568,Extinct
BM29862,Non Extinct
BM60072,Non Extinct
BM38478,Extinct
BM41254,Non Extinct
BM41097,Non Extinct
BM53709,Non Extinct
BM66911,Non Extinct
BM4551,Non Extinct
BM48906,Extinct
BM62848,Extinct
BM49646,Non Extinct
BM53363,Extinct
BM4259,Non Extinct
BM53364,Extinct
BM52187,Extinct
BM45119,Non Extinct
BM15547,Extinct
BM15548,Extinct
BM48976,Non Extinct
BM20906,Non Extinct
BM6591,Non Extinct
BM4451,Non Extinct
BM11309,Non Extinct
BM4261,Non Extinct
BM58414,Non Extinct
BM61099,Non Extinct
BM66483,Non Extinct
BM2837,Non Extinct
BM2839,Non Extinct
BM6256,Non Extinct
BM1018,Non Extinct
BM68204,Non Extinct
BM15557,Non Extinct
BM3042,Non Extinct
BM3043,Non Extinct
BM1676,Extinct
BM13790,Non Extinct
BM4574,Extinct
BM4572,Extinct
BM4578,Extinct
BM66083,Non Extinct
BM43635,Non Extinct
BM42520,Non Extinct
BM49643,Non Extinct
BM64618,Non Extinct
BM16724,Extinct
BM14556,Extinct
BM62839,Extinct
BM62840,Extinct
BM48791,Non Extinct
BM68712,Non Extinct
BM2840,Non Extinct
BM8661,Non Extinct
BM59073,Non Extinct
BM59086,Non Extinct
BM44822,Extinct
BM6596,Non Extinct
BM6599,Non Extinct
BM4299,Non Extinct
BM68319,Non Extinct
BM2999,Extinct
BM48928,Non Extinct
BM4239,Non Extinct
BM12633,Non Extinct
BM48931,Non Extinct
BM4176,Non Extinct
BM9989,Non Extinct
BM9990,Extinct
BM66165,Non Extinct
BM53366,Extinct
BM48792,Non Extinct
BM61093,Non Extinct
BM3223,Non Extinct
BM3224,Non Extinct
BM4026,Non Extinct
BM20167,Non Extinct
BM46072,Non Extinct
BM2995,Non Extinct
BM2996,Non Extinct
BM10065,Non Extinct
BM66477,Non Extinct
BM67742,Non Extinct
BM3157,Non Extinct
BM63732,Non Extinct
BM63731,Non Extinct
BM4532,Non Extinct
BM4314,Non Extinct
BM4304,Non Extinct
BM4182,Non Extinct
BM4185,Non Extinct
BM38477,Extinct
BM56813,Non Extinct
BM10285,Extinct
BM10264,Non Extinct
BM65885,Non Extinct
BM3225,Non Extinct
BM59649,Non Extinct
BM61832,Non Extinct
BM3252,Non Extinct
BM64683,Non Extinct
BM64684,Non Extinct
BM41253,Extinct
BM66313,Non Extinct
BM51908,Non Extinct
BM54029,Non Extinct
BM6593,Non Extinct
BM49359,Non Extinct
BM9257,Non Extinct
BM2911,Non Extinct
BM4209,Non Extinct
BM4208,Non Extinct
BM4515,Non Extinct
BM2344,Non Extinct
BM1064,Non Extinct
BM51854,Non Extinct
BM46055,Extinct
BM16249,Non Extinct
BM62784,Non Extinct
BM51348,Non Extinct
BM1383,Non Extinct
BM4195,Non Extinct
BM4197,Non Extinct
BM20702,Non Extinct
BM4198,Non Extinct
BM4200,Non Extinct
BM4201,Non Extinct
BM4204,Non Extinct
BM59069,Non Extinct
BM32048,Non Extinct
BM67716,Non Extinct
BM4022,Non Extinct
BM4266,Non Extinct
BM4274,Non Extinct
BM40681,Non Extinct
BM64214,Non Extinct
BM4023,Non Extinct
BM3876,Non Extinct
BM4518,Non Extinct
BM1203,Non Extinct
BM58440,Non Extinct
BM51853,Non Extinct
BM19554,Non Extinct
BM23514,Non Extinct
BM54742,Non Extinct
BM9254,Non Extinct
BM9255,Non Extinct
BM67737,Non Extinct
BM50561,Non Extinct
BM2827,Non Extinct
BM66450,Non Extinct
BM50641,Non Extinct
BM50645,Non Extinct
BM1862,Non Extinct
BM3938,Non Extinct
BM3939,Non Extinct
BM2829,Non Extinct
BM2831,Non Extinct
BM4136,Non Extinct
BM2928,Non Extinct
BM16240,Non Extinct
BM16243,Non Extinct
BM16241,Non Extinct
BM16244,Non Extinct
BM59072,Non Extinct
BM3944,Non Extinct
BM3945,Non Extinct
BM4174,Non Extinct
BM2835,Non Extinct
BM2836,Non Extinct
BM4142,Non Extinct
BM3128,Non Extinct
BM3129,Non Extinct
BM9010,Extinct
BM9016,Extinct
BM9019,Extinct
BM2985,Extinct
BM67198,Non Extinct
BM9020,Extinct
BM34499,Non Extinct
BM56595,Non Extinct
BM67385,Non Extinct
BM67386,Non Extinct
BM50642,Non Extinct
BM66227,Extinct
BM62095,Non Extinct
BM3190,Non Extinct
BM8663,Non Extinct
BM8666,Non Extinct
BM4227,Non Extinct
BM4231,Non Extinct
BM4234,Non Extinct
BM53320,Non Extinct
BM4193,Non Extinct
BM7186,Extinct
BM65068,Non Extinct
BM8662,Non Extinct
BM4220,Non Extinct
BM4218,Non Extinct
BM9025,Extinct
BM9007,Extinct
BM47691,Non Extinct
BM55323,Non Extinct
BM4221,Non Extinct
BM4223,Non Extinct
BM4224,Non Extinct
BM6835,Non Extinct
BM47190,Non Extinct
BM59400,Non Extinct
BM5521,Extinct
BM4214,Non Extinct
BM20229,Non Extinct
BM4213,Non Extinct
BM54916,Non Extinct
BM54917,Non Extinct
BM3195,Non Extinct
BM7967,Non Extinct
BM6858,Non Extinct
BM6877,Non Extinct
BM66156,Non Extinct
BM67717,Non Extinct
BM48920,Extinct
BM13971,Non Extinct
BM6875,Non Extinct
BM55435,Non Extinct
BM6878,Non Extinct
BM10071,Non Extinct
BM10072,Non Extinct
BM44049,Non Extinct
BM4457,Non Extinct
BM66587,Non Extinct
BM68358,Non Extinct
BM66946,Non Extinct
BM61977,Non Extinct
BM66945,Non Extinct
BM6882,Non Extinct
BM3882,Non Extinct
BM66810,Non Extinct
BM63971,Non Extinct
BM6059,Extinct
BM6061,Extinct
BM6863,Non Extinct
BM10273,Non Extinct
BM55395,Non Extinct
BM30597,Non Extinct
BM56814,Non Extinct
BM62234,Non Extinct
BM6865,Non Extinct
BM6869,Extinct
BM6870,Extinct
BM6872,Non Extinct
BM68349,Non Extinct
BM67791,Non Extinct
BM10274,Non Extinct
BM10276,Non Extinct
BM66101,Non Extinct
BM13380,Non Extinct
BM65884,Extinct
BM62973,Non Extinct
BM68014,Non Extinct
BM61194,Non Extinct
BM68432,Non Extinct
BM6867,Non Extinct
BM6876,Non Extinct
BM60189,Non Extinct
BM6800,Non Extinct
BM4246,Non Extinct
BM4250,Non Extinct
BM1218,Non Extinct
BM1219,Non Extinct
BM61189,Non Extinct
BM1253,Non Extinct
BM48807,Non Extinct
BM48806,Non Extinct
BM12676,Extinct
BM2639,Non Extinct
BM12675,Extinct
BM46126,Non Extinct
BM46125,Extinct
BM1221,Non Extinct
BM1251,Non Extinct
BM51458,Non Extinct
BM48808,Non Extinct
BM1222,Non Extinct
BM1223,Non Extinct
BM67218,Non Extinct
BM27879,Non Extinct
BM4254,Non Extinct
BM32189,Non Extinct
BM2635,Non Extinct
BM4256,Non Extinct
BM66713,Non Extinct
BM49630,Non Extinct
BM12411,Extinct
BM59396,Non Extinct
BM68068,Non Extinct
BM68069,Non Extinct
BM11396,Extinct
BM3979,Non Extinct
BM68335,Non Extinct
BM58435,Non Extinct
BM58453,Non Extinct
BM64075,Non Extinct
BM4030,Non Extinct
BM12713,Extinct
BM12714,Extinct
BM12715,Extinct
BM52111,Non Extinct
BM52112,Non Extinct
BM28775,Non Extinct
BM1114,Non Extinct
BM22679,Non Extinct
BM22682,Non Extinct
BM61197,Non Extinct
BM10277,Non Extinct
BM66705,Non Extinct
BM6798,Non Extinct
BM46237,Non Extinct
BM33342,Non Extinct
BM46234,Non Extinct
BM11911,Non Extinct
BM11694,Non Extinct
BM54128,Non Extinct
BM55357,Non Extinct
BM9955,Non Extinct
BM49683,Non Extinct
BM49685,Non Extinct
BM9295,Non Extinct
BM9294,Non Extinct
BM13591,Non Extinct
BM68238,Non Extinct
BM66309,Non Extinct
BM61195,Non Extinct
BM1200,Non Extinct
BM12692,Extinct
BM12693,Extinct
BM12694,Extinct
BM54686,Non Extinct
BM10025,Non Extinct
BM66228,Non Extinct
BM61929,Non Extinct
BM1355,Non Extinct
BM67860,Non Extinct
BM67867,Non Extinct
BM12700,Extinct
BM12699,Extinct
BM61198,Non Extinct
BM12705,Extinct
BM12706,Extinct
BM12708,Extinct
BM41429,Non Extinct
BM63478,Non Extinct
BM11318,Non Extinct
BM6782,Non Extinct
BM67826,Non Extinct
BM6783,Non Extinct
BM61199,Non Extinct
BM13388,Non Extinct
BM9336,Non Extinct
BM9337,Non Extinct
BM12703,Extinct
BM12697,Extinct
BM12682,Extinct
BM12685,Extinct
BM20224,Extinct
BM20209,Extinct
BM12678,Extinct
BM12690,Extinct
BM2641,Non Extinct
BM11438,Non Extinct
BM58420,Non Extinct
BM67823,Non Extinct
BM15844,Extinct
BM15840,Extinct
BM12712,Extinct
BM13398,Non Extinct
BM1097,Non Extinct
BM7514,Extinct
BM7515,Extinct
BM10086,Non Extinct
BM10137,Non Extinct
BM9885,Non Extinct
BM9299,Non Extinct
BM23512,Non Extinct
BM29135,Non Extinct
BM29137,Non Extinct
BM67719,Non Extinct
BM7526,Non Extinct
BM9014,Extinct
BM12711,Extinct
BM12686,Extinct
BM12709,Extinct
BM12710,Extinct
BM67720,Non Extinct
BM9055,Non Extinct
BM41221,Non Extinct
BM3961,Non Extinct
BM3965,Non Extinct
BM10087,Non Extinct
BM61196,Non Extinct
BM31168,Non Extinct
BM28776,Non Extinct
BM16858,Extinct
BM65477,Non Extinct
BM65480,Non Extinct
BM65474,Non Extinct
BM10027,Non Extinct
BM12417,Non Extinct
BM60614,Non Extinct
BM60615,Non Extinct
BM10009,Non Extinct
BM12414,Non Extinct
BM55103,Non Extinct
BM36051,Non Extinct
BM59890,Non Extinct
BM15647,Extinct
BM15644,Extinct
BM15639,Extinct
BM15633,Extinct
BM4245,Non Extinct
BM15857,Extinct
BM15842,Extinct
BM66490,Extinct
BM15620,Extinct
BM15615,Extinct
BM15606,Extinct
BM45385,Non Extinct
BM45384,Non Extinct
BM6574,Non Extinct
BM6579,Non Extinct
BM10003,Non Extinct
BM10007,Non Extinct
BM10008,Non Extinct
BM11307,Non Extinct
BM10139,Non Extinct
BM10140,Non Extinct
BM11436,Non Extinct
BM67861,Non Extinct
BM16860,Extinct
BM16861,Extinct
BM15668,Extinct
BM11880,Extinct
BM15760,Extinct
BM15765,Extinct
BM15763,Extinct
BM63154,Extinct
BM62766,Extinct
BM9358,Non Extinct
BM41235,Non Extinct
BM41212,Non Extinct
BM41217,Non Extinct
BM15756,Extinct
BM15753,Extinct
BM66723,Non Extinct
BM16864,Non Extinct
BM16489,Non Extinct
BM16491,Non Extinct
BM16492,Non Extinct
BM16320,Non Extinct
BM55166,Non Extinct
BM15750,Extinct
BM15746,Extinct
BM55375,Non Extinct
BM15743,Extinct
BM15737,Extinct
BM15725,Extinct
BM68212,Non Extinct
BM15723,Extinct
BM15717,Extinct
BM15712,Extinct
BM15714,Extinct
BM11289,Non Extinct
BM67618,Non Extinct
BM15681,Extinct
BM15677,Extinct
BM15674,Extinct
BM16494,Non Extinct
BM7511,Non Extinct
BM66788,Non Extinct
BM9355,Non Extinct
BM11787,Non Extinct
BM11790,Non Extinct
BM29138,Non Extinct
BM28770,Non Extinct
BM58151,Non Extinct
BM15665,Extinct
BM15657,Extinct
BM67770,Non Extinct
BM15837,Extinct
BM15787,Extinct
BM17193,Non Extinct
BM55105,Non Extinct
BM12996,Non Extinct
BM15784,Extinct
BM15782,Extinct
BM15779,Extinct
BM15776,Extinct
BM15603,Extinct
BM15855,Extinct
BM15852,Extinct
BM15849,Extinct
BM15584,Extinct
BM16857,Extinct
BM12140,Non Extinct
BM15846,Extinct
BM15774,Extinct
BM15772,Extinct
BM60246,Extinct
BM16003,Non Extinct
BM6019,Extinct
BM47241,Non Extinct
BM12053,Non Extinct
BM60289,Extinct
BM60290,Extinct
BM45387,Non Extinct
BM13312,Extinct
BM16324,Non Extinct
BM9363,Non Extinct
BM63438,Non Extinct
BM14205,Non Extinct
BM16484,Non Extinct
BM16485,Non Extinct
BM9865,Non Extinct
BM66585,Non Extinct
BM16839,Extinct
BM68700,Non Extinct
BM62423,Non Extinct
BM16843,Extinct
BM66297,Non Extinct
BM16834,Extinct
BM3194,Non Extinct
BM7522,Non Extinct
BM16830,Extinct
BM16833,Non Extinct
BM16852,Non Extinct
BM16846,Extinct
BM16848,Non Extinct
BM16851,Extinct
BM49708,Non Extinct
BM49679,Non Extinct
BM66122,Non Extinct
BM67827,Non Extinct
BM67722,Non Extinct
BM67721,Non Extinct
BM16865,Non Extinct
BM55124,Non Extinct
BM20802,Non Extinct
BM20803,Non Extinct
BM13028,Non Extinct
BM13032,Non Extinct
BM16854,Non Extinct
BM66124,Non Extinct
BM48553,Non Extinct
BM62747,Non Extinct
BM10135,Non Extinct
BM16869,Extinct
BM16871,Extinct
BM67757,Non Extinct
BM16856,Extinct
BM67250,Non Extinct
BM62145,Non Extinct
BM7649,Non Extinct
BM64315,Non Extinct
BM63755,Non Extinct
BM13314,Extinct
BM66250,Non Extinct
BM66249,Non Extinct
BM13315,Extinct
BM9950,Non Extinct
BM9030,Extinct
BM9031,Extinct
BM29781,Non Extinct
BM9033,Extinct
BM48781,Non Extinct
BM67828,Non Extinct
BM67331,Non Extinct
BM66261,Non Extinct
BM11380,Extinct
BM11375,Extinct
BM9042,Extinct
BM20929,Non Extinct
BM20931,Non Extinct
BM20936,Non Extinct
BM67192,Non Extinct
BM66753,Non Extinct
BM66752,Non Extinct
BM13460,Non Extinct
BM16334,Non Extinct
BM16726,Non Extinct
BM16298,Extinct
BM41236,Non Extinct
BM41241,Non Extinct
BM54969,Non Extinct
BM1110,Non Extinct
BM41683,Non Extinct
BM41660,Non Extinct
BM64316,Non Extinct
BM67333,Non Extinct
BM16258,Non Extinct
BM53917,Non Extinct
BM22687,Non Extinct
BM41664,Non Extinct
BM22685,Non Extinct
BM67908,Non Extinct
BM66251,Non Extinct
BM9083,Non Extinct
BM57949,Non Extinct
BM18297,Non Extinct
BM49620,Non Extinct
BM64220,Non Extinct
BM66724,Non Extinct
BM67127,Non Extinct
BM12925,Non Extinct
BM46073,Non Extinct
BM67414,Non Extinct
BM67416,Non Extinct
BM60901,Non Extinct
BM11835,Non Extinct
BM20797,Non Extinct
BM66638,Non Extinct
BM60619,Non Extinct
BM10665,Non Extinct
BM63157,Non Extinct
BM62836,Non Extinct
BM68365,Non Extinct
BM55186,Non Extinct
BM12404,Extinct
BM24962,Non Extinct
BM9018,Extinct
BM9021,Extinct
BM13459,Non Extinct
BM66907,Non Extinct
BM66558,Non Extinct
BM67128,Non Extinct
BM41695,Non Extinct
BM9029,Extinct
BM9032,Extinct
BM66123,Non Extinct
BM60705,Non Extinct
BM67795,Non Extinct
BM67794,Non Extinct
BM54052,Non Extinct
BM7498,Non Extinct
BM1916,Non Extinct
BM24480,Non Extinct
BM9941,Non Extinct
BM49622,Non Extinct
BM2964,Non Extinct
BM63180,Non Extinct
BM11252,Non Extinct
BM11253,Non Extinct
BM54168,Non Extinct
BM53918,Non Extinct
BM20924,Non Extinct
BM68334,Non Extinct
BM42435,Non Extinct
BM41775,Non Extinct
BM68337,Non Extinct
BM13045,Non Extinct
BM9081,Extinct
BM9085,Extinct
BM9087,Extinct
BM28360,Non Extinct
BM41120,Non Extinct
BM67415,Non Extinct
BM67316,Non Extinct
BM68311,Non Extinct
BM68705,Non Extinct
BM41111,Non Extinct
BM53901,Non Extinct
BM14561,Non Extinct
BM14559,Non Extinct
BM13809,Non Extinct
BM13811,Non Extinct
BM17268,Non Extinct
BM17270,Non Extinct
BM17271,Non Extinct
BM13814,Non Extinct
BM13813,Non Extinct
BM2967,Non Extinct
BM2968,Extinct
BM20703,Non Extinct
BM61097,Non Extinct
BM2719,Non Extinct
BM68704,Non Extinct
BM60063,Non Extinct
BM31078,Non Extinct
BM12406,Extinct
BM62825,Non Extinct
BM11494,Non Extinct
BM11495,Non Extinct
BM12941,Non Extinct
BM12403,Extinct
BM18633,Non Extinct
BM17274,Non Extinct
BM41918,Extinct
BM41917,Extinct
BM62977,Non Extinct
BM45092,Extinct
BM41919,Extinct
BM13456,Non Extinct
BM17283,Extinct
BM21303,Non Extinct
BM25764,Non Extinct
BM17538,Extinct
BM66754,Non Extinct
BM64685,Non Extinct
BM4465,Non Extinct
BM59148,Non Extinct
BM11827,Non Extinct
BM67886,Non Extinct
BM22851,Non Extinct
BM67887,Non Extinct
BM60787,Extinct
BM65670,Non Extinct
BM11500,Non Extinct
BM11498,Extinct
BM24481,Non Extinct
BM26446,Non Extinct
BM14188,Non Extinct
BM10323,Non Extinct
BM67732,Non Extinct
BM17540,Extinct
BM17541,Extinct
BM9598,Non Extinct
BM45382,Non Extinct
BM17631,Non Extinct
BM52120,Non Extinct
BM48065,Non Extinct
BM66582,Non Extinct
BM21072,Non Extinct
BM15146,Non Extinct
BM12042,Non Extinct
BM67189,Non Extinct
BM66588,Extinct
BM27820,Non Extinct
BM27823,Non Extinct
BM23515,Non Extinct
BM56360,Non Extinct
BM23100,Non Extinct
BM64498,Non Extinct
BM14185,Non Extinct
BM14183,Non Extinct
BM29783,Non Extinct
BM14182,Non Extinct
BM66579,Non Extinct
BM13977,Non Extinct
BM8957,Non Extinct
BM8962,Non Extinct
BM8963,Non Extinct
BM67831,Non Extinct
BM20560,Non Extinct
BM19524,Non Extinct
BM56817,Non Extinct
BM10079,Non Extinct
BM58152,Non Extinct
BM62424,Non Extinct
BM62103,Non Extinct
BM62425,Non Extinct
BM3972,Non Extinct
BM3953,Non Extinct
BM23284,Non Extinct
BM25023,Non Extinct
BM25024,Non Extinct
BM23920,Non Extinct
BM23921,Non Extinct
BM23287,Non Extinct
BM51282,Non Extinct
BM51283,Non Extinct
BM45381,Non Extinct
BM2720,Non Extinct
BM28531,Non Extinct
BM28532,Non Extinct
BM16000,Non Extinct
BM66217,Non Extinct
BM48900,Non Extinct
BM14174,Non Extinct
BM67219,Non Extinct
BM21248,Non Extinct
BM20460,Non Extinct
BM20462,Non Extinct
BM68060,Non Extinct
BM65646,Non Extinct
BM47036,Non Extinct
BM68010,Non Extinct
BM22670,Non Extinct
BM28864,Non Extinct
BM13452,Non Extinct
BM49506,Non Extinct
BM49507,Non Extinct
BM68048,Non Extinct
BM22723,Non Extinct
BM22729,Non Extinct
BM9091,Extinct
BM46754,Non Extinct
BM9094,Extinct
BM9098,Extinct
BM9099,Extinct
BM62762,Non Extinct
BM60604,Non Extinct
BM68206,Non Extinct
BM14180,Non Extinct
BM14181,Extinct
BM22673,Non Extinct
BM13806,Non Extinct
BM10050,Non Extinct
BM10054,Non Extinct
BM66714,Non Extinct
BM7640,Non Extinct
BM21054,Non Extinct
BM27276,Non Extinct
BM27277,Non Extinct
BM63421,Non Extinct
BM10141,Non Extinct
BM68012,Non Extinct
BM1067,Non Extinct
BM19523,Non Extinct
BM25889,Non Extinct
BM25897,Non Extinct
BM25898,Non Extinct
BM58058,Non Extinct
BM21053,Non Extinct
BM27279,Non Extinct
BM27281,Non Extinct
BM20903,Non Extinct
BM20905,Non Extinct
BM25888,Non Extinct
BM30487,Non Extinct
BM67905,Non Extinct
BM67906,Non Extinct
BM62614,Non Extinct
BM17280,Non Extinct
BM23511,Non Extinct
BM24253,Non Extinct
BM63433,Non Extinct
BM17594,Non Extinct
BM55464,Non Extinct
BM58060,Non Extinct
BM58077,Non Extinct
BM15757,Extinct
BM24313,Non Extinct
BM15764,Extinct
BM15761,Extinct
BM15758,Extinct
BM67836,Non Extinct
BM28528,Non Extinct
BM8969,Non Extinct
BM8978,Non Extinct
BM66119,Non Extinct
BM31049,Non Extinct
BM11688,Non Extinct
BM25887,Non Extinct
BM15686,Extinct
BM15687,Extinct
BM19794,Extinct
BM22981,Non Extinct
BM25762,Non Extinct
BM25767,Non Extinct
BM66802,Non Extinct
BM68677,Non Extinct
BM68678,Non Extinct
BM60293,Non Extinct
BM20901,Non Extinct
BM20902,Non Extinct
BM26958,Non Extinct
BM18586,Non Extinct
BM24251,Non Extinct
BM16992,Non Extinct
BM67837,Non Extinct
BM15755,Extinct
BM28552,Non Extinct
BM60083,Non Extinct
BM24325,Non Extinct
BM27830,Non Extinct
BM28079,Non Extinct
BM27962,Non Extinct
BM15851,Extinct
BM15850,Extinct
BM15848,Extinct
BM15847,Extinct
BM15845,Extinct
BM15597,Extinct
BM15596,Extinct
BM68679,Non Extinct
BM48773,Non Extinct
BM15885,Non Extinct
BM60917,Non Extinct
BM66807,Non Extinct
BM62918,Extinct
BM27274,Non Extinct
BM66118,Non Extinct
BM49678,Non Extinct
BM27211,Non Extinct
BM27213,Non Extinct
BM23513,Non Extinct
BM23871,Non Extinct
BM24542,Non Extinct
BM27214,Non Extinct
BM27325,Non Extinct
BM15856,Extinct
BM15841,Extinct
BM15745,Extinct
BM15735,Extinct
BM15744,Extinct
BM15739,Extinct
BM15738,Extinct
BM15733,Extinct
BM62910,Extinct
BM62915,Extinct
BM23042,Extinct
BM15670,Extinct
BM15667,Extinct
BM15666,Extinct
BM67835,Non Extinct
BM26086,Non Extinct
BM45773,Non Extinct
BM24335,Non Extinct
BM24340,Non Extinct
BM25530,Extinct
BM9102,Extinct
BM9103,Extinct
BM24344,Non Extinct
BM24345,Non Extinct
BM9105,Extinct
BM9086,Extinct
BM15843,Extinct
BM15853,Extinct
BM15594,Extinct
BM15577,Extinct
BM15593,Extinct
BM15592,Extinct
BM15579,Extinct
BM57039,Non Extinct
BM57037,Non Extinct
BM29465,Non Extinct
BM52176,Non Extinct
BM67749,Non Extinct
BM52174,Non Extinct
BM52175,Non Extinct
BM67387,Non Extinct
BM67379,Non Extinct
BM27540,Non Extinct
BM19322,Non Extinct
BM15748,Extinct
BM32842,Non Extinct
BM15711,Extinct
BM15710,Extinct
BM32845,Non Extinct
BM4251,Non Extinct
BM15640,Extinct
BM32846,Non Extinct
BM67750,Non Extinct
BM41186,Extinct
BM15709,Extinct
BM62104,Non Extinct
BM62167,Non Extinct
BM65837,Non Extinct
BM65712,Non Extinct
BM65713,Non Extinct
BM65714,Non Extinct
BM27553,Non Extinct
BM27554,Extinct
BM31107,Non Extinct
BM15749,Extinct
BM15752,Extinct
BM15638,Extinct
BM15754,Extinct
BM31509,Non Extinct
BM3935,Non Extinct
BM3942,Non Extinct
BM23286,Non Extinct
BM24826,Non Extinct
BM5761,Non Extinct
BM44197,Non Extinct
BM22689,Non Extinct
BM24801,Non Extinct
BM25892,Non Extinct
BM67748,Non Extinct
BM22756,Non Extinct
BM27994,Extinct
BM15660,Extinct
BM15659,Extinct
BM15731,Extinct
BM15726,Extinct
BM15839,Extinct
BM48910,Extinct
BM15836,Extinct
BM24827,Non Extinct
BM68027,Non Extinct
BM62622,Non Extinct
BM19526,Non Extinct
BM62627,Non Extinct
BM1104,Non Extinct
BM11634,Non Extinct
BM27220,Non Extinct
BM27222,Non Extinct
BM66808,Non Extinct
BM47029,Non Extinct
BM8981,Extinct
BM8983,Extinct
BM48932,Non Extinct
BM10067,Non Extinct
BM10069,Non Extinct
BM11626,Non Extinct
BM5762,Non Extinct
BM27223,Non Extinct
BM15622,Extinct
BM24147,Non Extinct
BM66214,Non Extinct
BM25041,Non Extinct
BM31279,Non Extinct
BM25462,Extinct
BM22322,Non Extinct
BM25447,Non Extinct
BM25448,Non Extinct
BM25450,Non Extinct
BM27953,Non Extinct
BM55356,Non Extinct
BM55360,Non Extinct
BM48776,Non Extinct
BM11437,Non Extinct
BM54132,Non Extinct
BM41693,Non Extinct
BM48774,Non Extinct
BM41697,Non Extinct
BM41706,Non Extinct
BM8979,Extinct
BM8980,Extinct
BM29774,Non Extinct
BM66212,Non Extinct
BM26773,Non Extinct
BM15621,Extinct
BM15619,Extinct
BM11629,Non Extinct
BM9930,Non Extinct
BM29786,Non Extinct
BM31052,Non Extinct
BM26248,Non Extinct
BM66608,Non Extinct
BM31054,Non Extinct
BM31055,Non Extinct
BM29514,Non Extinct
BM31082,Non Extinct
BM27810,Non Extinct
BM64221,Non Extinct
BM64222,Non Extinct
BM27808,Non Extinct
BM27908,Extinct
BM66488,Non Extinct
BM15632,Extinct
BM15631,Extinct
BM27706,Non Extinct
BM29074,Non Extinct
BM68051,Non Extinct
BM28007,Extinct
BM66922,Non Extinct
BM28009,Extinct
BM28010,Extinct
BM30485,Non Extinct
BM28019,Non Extinct
BM28020,Non Extinct
BM28022,Extinct
BM28023,Extinct
BM31507,Non Extinct
BM26174,Non Extinct
BM27972,Non Extinct
BM27975,Non Extinct
BM27081,Extinct
BM29788,Non Extinct
BM32182,Non Extinct
BM66213,Non Extinct
BM31137,Non Extinct
BM22583,Non Extinct
BM66161,Non Extinct
BM26047,Non Extinct
BM32116,Non Extinct
BM47557,Non Extinct
BM30817,Non Extinct
BM67356,Non Extinct
BM15618,Extinct
BM15692,Extinct
BM33626,Non Extinct
BM67771,Non Extinct
BM15626,Extinct
BM15630,Extinct
BM15628,Extinct
BM68056,Non Extinct
BM28014,Non Extinct
BM32484,Non Extinct
BM28028,Extinct
BM31374,Non Extinct
BM25771,Non Extinct
BM35597,Non Extinct
BM30336,Non Extinct
BM13795,Non Extinct
BM27928,Non Extinct
BM27921,Non Extinct
BM31629,Non Extinct
BM32424,Non Extinct
BM11695,Non Extinct
BM10142,Non Extinct
BM30489,Non Extinct
BM30490,Non Extinct
BM32486,Non Extinct
BM67762,Non Extinct
BM31528,Extinct
BM66190,Non Extinct
BM51802,Non Extinct
BM51810,Non Extinct
BM29133,Non Extinct
BM31289,Non Extinct
BM31291,Non Extinct
BM33714,Non Extinct
BM33659,Non Extinct
BM66191,Non Extinct
BM30352,Non Extinct
BM37743,Non Extinct
BM67617,Non Extinct
BM37746,Non Extinct
BM34520,Non Extinct
BM67772,Non Extinct
BM40086,Non Extinct
BM41124,Non Extinct
BM40087,Non Extinct
BM66398,Non Extinct
BM8929,Extinct
BM8933,Extinct
BM67845,Non Extinct
BM21377,Non Extinct
BM15702,Extinct
BM15701,Extinct
BM15602,Extinct
BM15607,Extinct
BM15605,Extinct
BM15604,Extinct
BM11701,Non Extinct
BM11700,Non Extinct
BM12253,Non Extinct
BM29134,Non Extinct
BM5764,Non Extinct
BM11680,Non Extinct
BM11705,Non Extinct
BM35640,Non Extinct
BM31253,Non Extinct
BM26072,Non Extinct
BM15699,Extinct
BM15698,Extinct
BM15697,Extinct
BM67843,Non Extinct
BM5765,Non Extinct
BM67842,Non Extinct
BM54695,Non Extinct
BM30008,Non Extinct
BM24565,Non Extinct
BM24566,Non Extinct
BM66485,Non Extinct
BM30410,Extinct
BM30411,Non Extinct
BM33721,Non Extinct
BM33725,Non Extinct
BM67763,Non Extinct
BM68013,Non Extinct
BM37749,Extinct
BM66189,Non Extinct
BM31299,Non Extinct
BM31300,Non Extinct
BM6025,Extinct
BM1065,Non Extinct
BM1055,Non Extinct
BM30417,Extinct
BM39855,Non Extinct
BM30607,Non Extinct
BM59293,Non Extinct
BM56771,Non Extinct
BM11699,Non Extinct
BM67500,Non Extinct
BM67502,Non Extinct
BM30010,Non Extinct
BM24351,Non Extinct
BM24352,Non Extinct
BM52044,Non Extinct
BM52046,Non Extinct
BM52047,Non Extinct
BM40012,Non Extinct
BM40027,Non Extinct
BM15601,Extinct
BM15600,Extinct
BM15676,Extinct
BM24467,Non Extinct
BM4468,Non Extinct
BM24559,Non Extinct
BM12258,Non Extinct
BM8984,Non Extinct
BM8986,Non Extinct
BM11704,Non Extinct
BM28529,Non Extinct
BM31483,Non Extinct
BM33719,Non Extinct
BM15616,Extinct
