ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
APPLE FRUITS   10 ,BM9016,2009,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS NEPAL FRUITS   5 ,BM9019,2012,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS SOUTH AFRICA FRUITS   1 ,BM9020,2013,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LITCHI NEPAL FRUITS   1 ,BM9025,2018,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
 FRUITS   1 ,BM20224,8091,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RAMBUTAN(D) FRUITS   1 ,BM20209,8076,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE RED FRUITS   1 ,BM9014,2007,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA AUSTRALIA FRUITS   1 ,BM9030,2023,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA FRUITS   0 ,BM9031,2024,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PANIFAL    1 ,BM9033,2026,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI AUSTRALIA FRUITS   1 ,BM9042,2035,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS INDIA FRUITS   0 ,BM9018,2011,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS FRUITS   1 ,BM9021,2014,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA INDIA FRUITS   5 ,BM9029,2022,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CUSTARD APPLE/SARIFA/SITAFAL FRUITS   1 ,BM9032,2025,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KARIMA FRUITS   1 ,BM9081,2074,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PLUMS YELLOW FRUITS   1 ,BM9085,2078,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PLUMS FRUITS   1 ,BM9087,2080,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RAMBUTAN FRUITS   1 ,BM9091,2084,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CHIKOO FRUITS   1 ,BM9094,2087,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
DATES FRUITS   1 ,BM9098,2091,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
AMALA FRUITS   1 ,BM9099,2092,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CHESTNUT FRUITS   1 ,BM9102,2095,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HALUWABED JAPAN FRUITS   1 ,BM9103,2096,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPEFRUIT/BHOGATE FRUITS   5 ,BM9105,2098,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PLUMS BLACK FRUITS   1 ,BM9086,2079,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
DRAGON FRUIT FRUITS   1 ,BM9090,2083,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
AVOCADO FRUITS   3 ,BM9093,2086,LONG FRUITS,3,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BEL FRUIT FRUITS   1 ,BM9100,2093,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BAYAR FRUITS   2 ,BM9104,2097,LONG FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Extinct
I.L.D MANDARIN,BM67637,69,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D. ORANGE I.L.D   0 ,BM67488,95,LONG FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D APPLE CHOCOLATE 2004 I.L.D   1 ,BM64652,14,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D APPLE CHINA 2002 I.L.D   1 ,BM64651,13,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D. MANGO BEGAMFELLI,BM68419,4455,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PINEAPPLE 2032 FRUITS   1 ,BM9039,2032,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PINEAPPLE NEPAL FRUITS   1 ,BM9037,2030,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI FRUIT NEPAL FRUITS   1 ,BM9040,2033,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
WATERMELON SLICE(D) FRUITS   1 ,BM20152,8019,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
I.L.D MANGO MALDA 2056,BM66199,147,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D. APPLE CHOCOLATE I.L.D   1 ,BM30451,9,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GRAPES GREEN(D) FRUITS   1 ,BM20189,8056,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
COCONUT WATER(D) FRUITS   1 ,BM20196,8063,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
FRUIT SALAD BOWL(D) FRUITS   1 ,BM20213,8080,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POMEGRANATE RED(D) FRUITS   1 ,BM20183,8050,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORANGE INDIA FRUITS   1 ,BM20163,8030,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KIWI FRUIT NEPAL(D) FRUITS   1 ,BM20168,8035,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PAPAYA NEPAL(D) FRUITS   1 ,BM20161,8028,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE GALA MANANG FRUITS   10 ,BM20138,8005,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CHERRY KASHMIRI(D) FRUITS   1 ,BM20143,8010,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HALUWABED JAPAN(D) FRUITS   1 ,BM20204,8071,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE CHINA(D) FRUITS   1 ,BM20223,8090,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GRAPEFRUIT/BHOGATE(D) FRUITS   1 ,BM20242,8109,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MANDARIN FRUITS   20 ,BM9053,2046,LONG FRUITS,20,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CUSTARD APPLE/SARIFA/SITAFAL(D) FRUITS   1 ,BM20174,8041,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA INDIA(D) FRUITS   1 ,BM20176,8043,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APRICOTS SAFA TURKEL FRUITS 200G  1 ,BM11509,8123,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
NIGRO/FRENCH SHOOT ORGANIC   1 ,BM13364,8140,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
WATERMELON ROUND FRUITS   10 ,BM9073,2066,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Extinct
WATERMELON SLICE    1 ,BM9075,2068,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS CHINA FRUITS   10 ,BM9017,2010,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GRAPES WHITE FRUITS   1 ,BM9069,2062,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D MANGO MALDA PREMIUM 2345,BM66198,258,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CAPSICUM/YELLOW FRUITS   1 ,BM8939,1031,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CAPSICUM/RED FRUITS   1 ,BM8938,1030,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE SHIMLA FRUITS   10 ,BM9008,2001,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
WATERMELON HALF    1 ,BM9076,2069,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D. APPLE CHINA I.L.D   1 ,BM52192,8,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
KIWI FRUIT (CHILE) FRUITS   1 ,BM47338,8178,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
FRUIT SALAD BOWL FRUITS   1 ,BM9108,2101,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
YACON GROUND APPLE/KG FRUITS KG  2 ,BM20918,2132,LONG FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA (D) FRUITS   1 ,BM23417,8112,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ARBI VEGETABLES   1 ,BM22797,2138,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEACH FRUITS   1 ,BM12218,2104,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SWEET MELON(D) FRUITS   1 ,BM20149,8016,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
SWEET TAMARIND 250G FRUITS   1 ,BM12220,2106,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE GOLDEN MANANG FRUITS   10 ,BM20206,8073,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
FARDH DATES FRUITS   1 ,BM12219,2105,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEPINO MELON VEGETABLES   1 ,BM60461,7777,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
POMELO FRUITS   1 ,BM58551,1144,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
Black berry FRUITS   1 ,BM66169,8910,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
JUMLA APPLE GRADED FRUITS   1 ,BM58395,4444,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA NEPAL FRUITS   2 ,BM9028,2021,LONG FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE FUJI,BM29175,2300,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PREMIUM ORANGE NEPAL FRUITS   10 ,BM64537,2043,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GREEN APPLE USA FRUITS   1 ,BM9015,2008,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
JUMLA APPLE ASSORTED FRUITS   1 ,BM58396,5555,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC HALUWABED ORGANIC   2 ,BM14102,1124,LONG FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BEMARA FRUITS   1 ,BM58552,1145,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
Mustang apple Graded,BM63989,8000,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
WATERMEON GREEN FRUITS   10 ,BM9074,2067,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CHATTEL FRUITS   2 ,BM8968,1060,LONG FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RED APPLE USA FRUITS   5 ,BM9013,2006,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GREEN PEARS USA(D) FRUITS   1 ,BM20759,8122,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE RED(D) FRUITS   1 ,BM20241,8108,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
JARDA MANGO FRUITS   1 ,BM23222,2140,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LITCHI INDIA FRUITS   1 ,BM9026,2019,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
SAGAR KAJU KHAJOOR 500G VEGETABLES   1 ,BM20139,8006,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPES FLAME RED(D) FRUITS   1 ,BM20154,8021,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORANGE NEPAL FRUITS   1 ,BM20164,8031,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GUAVA AUSTRALIA(D) FRUITS   1 ,BM20175,8042,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PEARS JAPAN(D) FRUITS   1 ,BM20181,8048,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE NEPAL(D) FRUITS   1 ,BM20187,8054,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LIME(D) FRUITS   1 ,BM20192,8059,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
DATES FRUITS   1 ,BM20202,8069,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
APPLE GOLDEN FRUITS   10 ,BM9012,2005,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE JHOLE CHAINA FRUITS   10 ,BM13342,2111,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
APPLE CHINA FRUITS   10 ,BM9009,2002,LONG FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
POMEGRANATE RED INDIA FRUITS   5 ,BM9045,2038,LONG FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ORGANIC KIWI ORGANIC   1 ,BM18602,2127,LONG FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MANGO DASHARI FRUITS   10 ,BM9065,2058,SOFT FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GRAPES FLAME RED FRUITS   2 ,BM9070,2063,SOFT FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO MALDA FRUITS   10 ,BM9063,2056,SOFT FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO MALDA(D) FRUITS   1 ,BM20210,8077,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PAPAYA INDIA FRUITS   6 ,BM9055,2048,SOFT FRUITS,6,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO BOMBAY FRUITS   1 ,BM20229,8096,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO ASSORTED    1 ,BM12094,2103,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
STRAWBERRY NEPAL FRUITS   1 ,BM9022,2015,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO GREEN FRUITS   1 ,BM9066,2059,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPES AUSTRALIA FRUITS   1 ,BM9071,2064,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
I.L.D KESHARI MANGO I.L.D   1 ,BM68605,100,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGOSTEEN FRUITS   1 ,BM11610,2102,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
STRAWBERRY 2016 FRUITS   1 ,BM9023,2016,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO MALDA PREMIUM FRUITS   1 ,BM63138,2345,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO PAKISTHANI BOX FRUITS   1 ,BM13327,2110,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
Mango Kalkatti,BM66404,4567,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
I.L.D GRAPES GREEN I.L.D   1 ,BM68242,129,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PLUMS RED FRUITS   5 ,BM9083,2076,SOFT FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LITCHI FRUITS   2 ,BM9027,2020,SOFT FRUITS,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
KESHARI MANGO FRUITS   1 ,BM20156,8023,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO CHOSA PREMIUM FRUITS   1 ,BM58967,4000,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MANGO CHOSA REGULAR FRUITS   1 ,BM58968,3999,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPES BLACK FRUITS   5 ,BM9068,2061,SOFT FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
MANGO PAKISTHANI BOX FRUITS   1 ,BM20211,8078,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPES BLACK(D) FRUITS   0 ,BM20235,8102,SOFT FRUITS,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MANGO DASHARI FRUITS   1 ,BM20238,8105XX,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GRAPES GREEN FRUITS   5 ,BM9067,2060,SOFT FRUITS,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D MANGO DASHARI I.L.D   1 ,BM66186,456,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D MANGO ASSORTED I.L.D   1 ,BM68629,29,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BEGAMFELLI  (MANGO) FRUITS   10 ,BM21898,2133,SOFT FRUITS,10,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
I.L.D MANGO BOMBAY I.L.D   1 ,BM66187,789,SOFT FRUITS,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
