ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
OKRA VEGETABLES   3 ,BM8953,1045,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CUCUMBER/INDIAN VEGETABLES   5 ,BM8931,1023,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CORGET VEGETABLES   3 ,BM8981,1073,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BABY CORN VEGETABLES   1 ,BM8983,1075,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUSHROOM FLIGHT VEGETABLES   1 ,BM8979,1071,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUSHROOM FRUITS   1 ,BM8980,1072,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CARROT/INDIAN VEGETABLES   1 ,BM8929,1021,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
FRENCH BEANS/INDIAN VEGETABLES   3 ,BM8933,1025,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ONION BROWN/NEPALI    1 ,BM8915,1007,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ONION BROWN/INDIAN FRUITS   1 ,BM8916,1008,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RED BEANS VEGETABLES   1 ,BM8935,1027,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CAULIFLOWER/TERAI VEGETABLES   0 ,BM8923,1015,FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
COLDEARY VEGETABLES   1 ,BM8921,1013,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CABBAGE RED VEGETABLES   5 ,BM47325,8175,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BROCCOLI/NEPALI VEGETABLES   3 ,BM8943,1035,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BROCCOLI/INDIAN FRUITS   1 ,BM8944,1036,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BANANA GREEN FRUITS   1 ,BM8946,1038,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SHORT BEANS VEGETABLES   1 ,BM8949,1041,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC BRINJAL PACK VEGETABLES   1 ,BM54219,8184,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC BROCAULI HIMALAYAN GARDEN   1 ,BM54220,8185,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC LONG SWEET CHILLI 200G VEGETABLES   1 ,BM54246,8211,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LETUCE RED FRUITS   1 ,BM9000,1092,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
TURNIP/GANTE MULA FRUITS   1 ,BM9003,1095,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SUGRIB    1 ,BM9004,1096,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC RADISH ORGANIC   1 ,BM16970,1129,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BANANA GREEN BIG FRUITS   12 ,BM9061,2054,FRESH VEG,12,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BANANA SMALL FRUITS   12 ,BM9062,2055,FRESH VEG,12,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LEEK VEGETABLES   1 ,BM18263,2126,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
TORI SAAG FRUITS   1 ,BM9005,1097,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CAPSICUM/GREEN VEGETABLES   2 ,BM8937,1029,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BABY MARROW VEGETABLES   5 ,BM8941,1033,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
CABBAGE/TERAI VEGETABLES   1 ,BM8926,1018,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ARABI VEGETABLES   1 ,BM8960,1052,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
EGG-PLANT LONG(D) FRUITS   1 ,BM20098,7076,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUSHROOM VEGETABLES   1 ,BM8978,1070,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
