Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
39,EGG-PLANT BIG VEGETABLES 3,BM8962,1054,17,3,FRESH,FRESH VEG,Active,,,SOUP SAAG/DILL LEAFY VEG   1 ,BM9002,1094
40,EGG-PLANT LONG VEGETABLES 3,BM8963,1055,18,3,FRESH,FRESH VEG,Active,,,RADISH-WHITE VEGETABLES   5 ,BM8994,1086
41,EGG-PLANT SHORT VEGETABLES 1,BM8964,1056,#N/A,1,FRESH,FRESH VEG,Active,,,OKRA VEGETABLES   3 ,BM8953,1045
42,EGG-PLANT GREEN VEGETABLES 3,BM8965,1057,51,3,FRESH,FRESH VEG,Active,,,CUCUMBER/INDIAN VEGETABLES   5 ,BM8931,1023
43,SHIITAKE MUSHROOM SHIITAKE 1,BM8966,1058,#N/A,1,FRESH,FRESH VEG,Active,,,CABBAGE RED VEGETABLES   5 ,BM47325,8175
44,CHATTEL FRUITS 2,BM8968,1060,#N/A,2,FRESH,LONG FRUITS,Active,,,BROCCOLI/NEPALI VEGETABLES   3 ,BM8943,1035
45,SOYABEAN GREEN VEGETABLES 2,BM8969,1061,53,2,FRESH,FRESH VEG,Active,,,BANANA GREEN BIG FRUITS   12 ,BM9061,2054
46,KUBHINDO 1,BM8971,1063,#N/A,1,FRESH,FRESH VEG,Active,,,BANANA SMALL FRUITS   12 ,BM9062,2055
47,KURILO VEGETABLES 1,BM8972,1064,25,1,FRESH,FRESH VEG,Active,,,TORI SAAG FRUITS   1 ,BM9005,1097
48,SWEET POTATO VEGETABLES 5,BM8973,1065,#N/A,5,FRESH,LONG FRESH VEG,Active,,,CAPSICUM/GREEN VEGETABLES   2 ,BM8937,1029
49,CABBAGE CHINESE FRUITS 2,BM8974,1066,#N/A,2,FRESH,FRESH VEG,Active,,,BABY MARROW VEGETABLES   5 ,BM8941,1033
50,LEMON GRASS GREEN FRUITS 1,BM8975,1067,#N/A,1,FRESH,FRESH VEG,Active,,,MUSHROOM VEGETABLES   1 ,BM8978,1070
51,LAPSI VEGETABLES 2,BM8976,1068,80,2,FRESH,LONG FRESH VEG,Active,,,EGG-PLANT GREEN VEGETABLES   3 ,BM8965,1057
52,TOFU FRESH VEGETABLES 5,BM8977,1069,26,5,FRESH,FRESH VEG,Active,,,JACKFRUIT FRUITS   5 ,BM8945,1037
53,MUSHROOM VEGETABLES 1,BM8978,1070,50,1,FRESH,FRESH VEG,Active,,,SOYABEAN GREEN VEGETABLES   2 ,BM8969,1061
54,CORGET VEGETABLES 3,BM8981,1073,#N/A,3,FRESH,FRESH VEG,Active,,,BAKULLA VEGETABLES   3 ,BM18128,1135
55,SPINACH/NEPALI LEAFY VEG 1,BM8984,1076,20,1,FRESH,FRESH VEG,Active,,,FRESH GREEN PEAS VEGETABLES   5 ,BM11561,1114
56,DHANIYA PATTA LEAFY VEG 5,BM8986,1078,21,5,FRESH,FRESH VEG,Active,,,MUSHROOM(D) VEGETABLES   1 ,BM20097,7075
57,LETTUCE LEAFY VEG 1,BM8987,1079,22,1,FRESH,FRESH VEG,Active,,,BARELA VEGETABLES   2 ,BM59150,2222
58,PUDINA/MINT LEAFY VEG 5,BM8988,1080,27,5,FRESH,FRESH VEG,Active,,,FLATE BEANS VEGETABLES   3 ,BM8924,1016
59,PARSLEY,BM20114,1082,29,5,FRESH,FRESH VEG,Active,,,MUDEKO ALOO VEGETABLES   1 ,BM58963,2000
60,GARLIC SPRING LEAFY VEG 10,BM8991,1083,30,10,FRESH,FRESH VEG,Active,,,NEURO SAAG VEGETABLES   1 ,BM12074,1118
61,ONION SPRING LEAFY VEG 10,BM8992,1084,33,10,FRESH,FRESH VEG,Active,,,LONG BEANS VEGETABLES   2 ,BM8948,1040
